,Date,Adj Close,Volume
480,1989-06-21,7.0,3400
481,1989-06-22,6.8125,6200
482,1989-06-23,6.6875,1000
483,1989-06-26,6.875,7600
484,1989-06-27,6.75,2200
485,1989-06-28,6.5625,2600
486,1989-06-29,6.5625,3800
487,1989-06-30,6.625,400
488,1989-07-03,6.625,0
489,1989-07-05,6.625,0
490,1989-07-06,6.5625,1600
491,1989-07-07,6.75,1600
492,1989-07-10,6.9375,6000
493,1989-07-11,7.0,5200
494,1989-07-12,7.0,1200
495,1989-07-13,6.8125,4000
496,1989-07-14,6.625,2400
497,1989-07-17,6.6875,1200
498,1989-07-18,6.6875,0
499,1989-07-19,6.6875,2000
500,1989-07-20,6.4375,2400
501,1989-07-21,6.4375,0
502,1989-07-24,6.4375,0
503,1989-07-25,6.4375,600
504,1989-07-26,6.5,800
505,1989-07-27,6.4375,6600
506,1989-07-28,6.3125,3600
507,1989-07-31,6.3125,9000
508,1989-08-01,6.4375,9600
509,1989-08-02,6.4375,7400
510,1989-08-03,6.4375,4800
511,1989-08-04,7.1875,55600
512,1989-08-07,7.9375,14800
513,1989-08-08,7.75,10600
514,1989-08-09,7.5625,18200
515,1989-08-10,7.5,7800
516,1989-08-11,7.25,7000
517,1989-08-14,7.0,4000
518,1989-08-15,6.9375,7000
519,1989-08-16,7.125,6000
520,1989-08-17,7.1875,1200
521,1989-08-18,7.75,9400
522,1989-08-21,7.5,11400
523,1989-08-22,7.5,5000
524,1989-08-23,7.5,600
525,1989-08-24,7.5,7800
526,1989-08-25,7.4375,2600
527,1989-08-28,7.375,1000
528,1989-08-29,7.375,600
529,1989-08-30,7.3125,9000
530,1989-08-31,7.125,3800
531,1989-09-01,7.25,3400
532,1989-09-05,7.125,600
533,1989-09-06,7.125,2400
534,1989-09-07,7.1875,2200
535,1989-09-08,7.3125,1000
536,1989-09-11,7.4375,5200
537,1989-09-12,7.625,8000
538,1989-09-13,7.6875,6800
539,1989-09-14,7.5625,2600
540,1989-09-15,7.4375,2000
541,1989-09-18,7.5,2000
542,1989-09-19,7.5,0
543,1989-09-20,7.5,0
544,1989-09-21,7.4375,3000
545,1989-09-22,7.25,1800
546,1989-09-25,7.1875,400
547,1989-09-26,7.1875,231400
548,1989-09-27,7.125,16800
549,1989-09-28,7.1875,100400
550,1989-09-29,7.1875,73000
551,1989-10-02,7.1875,7200
552,1989-10-03,7.0625,21000
553,1989-10-04,7.0625,30400
554,1989-10-05,6.875,46800
555,1989-10-06,7.0625,17200
556,1989-10-09,7.0625,11400
557,1989-10-10,6.9375,9800
558,1989-10-11,7.0,47200
559,1989-10-12,7.0,14200
560,1989-10-13,6.625,9600
561,1989-10-16,6.3125,32600
562,1989-10-17,6.5625,26400
563,1989-10-18,6.5,6400
564,1989-10-19,6.5625,55600
565,1989-10-20,6.6875,10000
566,1989-10-23,6.5,6400
567,1989-10-24,6.5,29600
568,1989-10-25,6.6875,21200
569,1989-10-26,6.3125,11400
570,1989-10-27,6.3125,4200
571,1989-10-30,6.1875,15800
572,1989-10-31,6.125,27600
573,1989-11-01,6.0625,4400
574,1989-11-02,5.9375,3200
